,Obs1,,,,,,,,,,,,,,,,,,
Obs2,sg1,pr1,fd1,op1,sg2,pr2,fd2,op2,sg35,pr35,fd35,op35,sg6+,pr6+,fd6+,op6+,,,
sg1,1,1*,1,1,,,1*,1*,,,1*,,,,1*,,,,
pr1,,1,,,,,,1,,,,,,,,,,,
fd1,,,1,,,,,,,,,,,,,,,,
op1,1,,1,1,,,1*,,,,1*,,,,1*,,,,
sg2,,,,,1,,1,1,,,,,,,,,,,
pr2,,,,,,1,,,,,,1,,,,,,,
fd2,,,,,,,1,,,,,,,,,,,,
op2,,1,,,1,,1,1,,,,,,,,,,,
sg35,,,,,,,,,1,,1,1,,,,,,,
pr35,,,,,,,,,,1,,,,,,1,,,
fd35,,,,,,,,,,,1,1,,,,,,,
op35,,,,,,1,,,1,,1,1,,,,,,,
sg6+,,,,,,,,,,,,,1,1,1,1,,,
pr6+,,,,,,,,,,,,,1,1,1,1,,,
fd6+,,,,,,,,,,,,,1,1,1,1,,,
op6+,,,,,,,,,,,,,1,1,1,1,,,
